SUM,000012093
TotalTime,0000:02:01
SampTime(ms),10
DateTime, 2023-07-20 16:46:01
Time(hh:mm:ss:ms),Voltage(V),Current(A),Power(W),Temperature
"00:01:09:410", 5.014, 0.520, 2.605, 36.
"00:01:09:420", 5.021, 0.368, 1.848, 36.
"00:01:09:430", 5.010, 0.582, 2.917, 36.
"00:01:09:440", 5.004, 0.664, 3.320, 36.
"00:01:09:450", 5.014, 0.522, 2.617, 36.
"00:01:09:460", 5.011, 0.555, 2.783, 36.
"00:01:09:470", 5.011, 0.554, 2.778, 36.
"00:01:09:480", 5.012, 0.507, 2.542, 36.
"00:01:09:490", 5.020, 0.376, 1.888, 36.
"00:01:09:500", 5.015, 0.467, 2.344, 36.
"00:01:09:510", 5.011, 0.562, 2.818, 36.
"00:01:09:520", 5.011, 0.533, 2.673, 36.
"00:01:09:530", 5.007, 0.571, 2.858, 36.
"00:01:09:540", 5.012, 0.548, 2.749, 36.
"00:01:09:550", 5.019, 0.399, 2.004, 36.
"00:01:09:560", 5.020, 0.367, 1.840, 36.
"00:01:09:570", 5.012, 0.506, 2.537, 36.
"00:01:09:580", 5.010, 0.564, 2.827, 36.
"00:01:09:590", 5.012, 0.516, 2.587, 36.
"00:01:09:600", 5.009, 0.578, 2.896, 36.
"00:01:09:610", 5.011, 0.564, 2.828, 36.
"00:01:09:620", 5.014, 0.434, 2.174, 36.
"00:01:09:630", 5.022, 0.357, 1.791, 36.
"00:01:09:640", 5.022, 0.357, 1.791, 36.
"00:01:09:650", 5.011, 0.582, 2.915, 36.
"00:01:09:660", 5.009, 0.561, 2.811, 36.
"00:01:09:670", 5.014, 0.524, 2.627, 36.
"00:01:09:680", 5.011, 0.522, 2.614, 36.
"00:01:09:690", 5.016, 0.431, 2.163, 36.
"00:01:09:700", 5.011, 0.574, 2.875, 36.
"00:01:09:710", 5.014, 0.508, 2.545, 36.
"00:01:09:720", 5.019, 0.396, 1.987, 36.
"00:01:09:730", 5.019, 0.367, 1.842, 36.
"00:01:09:740", 5.014, 0.501, 2.510, 36.
"00:01:09:750", 5.011, 0.563, 2.820, 36.
"00:01:09:760", 5.012, 0.559, 2.804, 36.
"00:01:09:770", 5.009, 0.577, 2.888, 36.
"00:01:09:780", 5.011, 0.530, 2.653, 36.
"00:01:09:790", 5.020, 0.364, 1.828, 36.
"00:01:09:800", 5.010, 0.540, 2.708, 36.
"00:01:09:810", 5.009, 0.617, 3.090, 36.
"00:01:09:820", 5.010, 0.571, 2.862, 36.
"00:01:09:830", 5.010, 0.553, 2.770, 36.
"00:01:09:840", 5.009, 0.580, 2.903, 36.
"00:01:09:850", 5.012, 0.537, 2.694, 36.
"00:01:09:860", 5.019, 0.353, 1.773, 36.
"00:01:09:870", 5.019, 0.353, 1.773, 36.
"00:01:09:880", 5.010, 0.592, 2.964, 36.
"00:01:09:890", 5.011, 0.541, 2.711, 36.
"00:01:09:900", 5.011, 0.581, 2.910, 36.
"00:01:09:910", 5.011, 0.545, 2.731, 36.
"00:01:09:920", 5.012, 0.508, 2.547, 36.
"00:01:09:930", 5.020, 0.355, 1.781, 36.
"00:01:09:940", 5.012, 0.498, 2.497, 36.
"00:01:09:950", 5.012, 0.498, 2.497, 36.
"00:01:09:960", 5.010, 0.593, 2.971, 36.
"00:01:09:970", 5.012, 0.517, 2.589, 36.
"00:01:09:980", 5.010, 0.567, 2.842, 36.
"00:01:09:990", 5.011, 0.532, 2.663, 36.
"00:01:10:000", 5.015, 0.508, 2.546, 36.
"00:01:10:010", 5.019, 0.352, 1.768, 36.
"00:01:10:020", 5.015, 0.501, 2.514, 36.
"00:01:10:030", 5.014, 0.535, 2.685, 36.
"00:01:10:040", 5.011, 0.604, 3.027, 36.
"00:01:10:050", 5.012, 0.566, 2.836, 36.
"00:01:10:060", 5.012, 0.535, 2.682, 36.
"00:01:10:070", 5.011, 0.578, 2.895, 36.
"00:01:10:080", 5.011, 0.559, 2.803, 36.
"00:01:10:090", 5.020, 0.382, 1.915, 36.
"00:01:10:100", 5.017, 0.367, 1.842, 36.
"00:01:10:110", 5.016, 0.489, 2.454, 36.
"00:01:10:120", 5.011, 0.557, 2.793, 36.
"00:01:10:130", 5.012, 0.518, 2.594, 36.
"00:01:10:140", 5.011, 0.564, 2.828, 36.
"00:01:10:150", 5.012, 0.546, 2.736, 36.
"00:01:10:160", 5.014, 0.374, 1.875, 36.
"00:01:10:170", 5.020, 0.581, 2.915, 36.
"00:01:10:180", 5.009, 0.632, 3.165, 36.
"00:01:10:190", 5.010, 0.568, 2.844, 36.
"00:01:10:200", 5.014, 0.529, 2.650, 36.
"00:01:10:210", 5.011, 0.577, 2.892, 36.
"00:01:10:220", 5.012, 0.524, 2.627, 36.
"00:01:10:230", 5.017, 0.403, 2.021, 36.
"00:01:10:240", 5.019, 0.367, 1.840, 36.
"00:01:10:250", 5.007, 0.599, 2.997, 36.
"00:01:10:260", 5.007, 0.599, 2.997, 36.
"00:01:10:270", 5.010, 0.566, 2.834, 36.
"00:01:10:280", 5.010, 0.545, 2.732, 36.
"00:01:10:290", 5.011, 0.577, 2.892, 36.
"00:01:10:300", 5.012, 0.514, 2.577, 36.
"00:01:10:310", 5.017, 0.368, 1.844, 36.
"00:01:10:320", 5.012, 0.526, 2.637, 36.
"00:01:10:330", 5.007, 0.604, 3.025, 36.
"00:01:10:340", 5.010, 0.558, 2.797, 36.
"00:01:10:350", 5.009, 0.552, 2.764, 36.
"00:01:10:360", 5.011, 0.583, 2.922, 36.
"00:01:10:370", 5.010, 0.549, 2.750, 36.
"00:01:10:380", 5.019, 0.350, 1.758, 36.
"00:01:10:390", 5.012, 0.511, 2.562, 36.
"00:01:10:400", 5.010, 0.596, 2.984, 36.
"00:01:10:410", 5.012, 0.552, 2.766, 36.
"00:01:10:420", 5.007, 0.581, 2.910, 36.
"00:01:10:430", 5.012, 0.511, 2.560, 36.
"00:01:10:440", 5.016, 0.500, 2.507, 36.
"00:01:10:450", 5.019, 0.367, 1.842, 36.
"00:01:10:460", 5.014, 0.535, 2.682, 36.
"00:01:10:470", 5.010, 0.609, 3.051, 36.
"00:01:10:480", 5.012, 0.520, 2.607, 36.
"00:01:10:490", 5.010, 0.579, 2.902, 36.
"00:01:10:500", 5.015, 0.561, 2.812, 36.
"00:01:10:510", 5.016, 0.445, 2.233, 36.
"00:01:10:520", 5.021, 0.351, 1.764, 36.
"00:01:10:530", 5.012, 0.531, 2.659, 36.
"00:01:10:540", 5.012, 0.531, 2.659, 36.
"00:01:10:550", 5.011, 0.547, 2.741, 36.
"00:01:10:560", 5.012, 0.517, 2.592, 36.
"00:01:10:570", 5.009, 0.580, 2.906, 36.
"00:01:10:580", 5.012, 0.500, 2.505, 36.
"00:01:10:590", 5.017, 0.454, 2.278, 36.
"00:01:10:600", 5.011, 0.495, 2.482, 36.
"00:01:10:610", 5.007, 0.582, 2.915, 36.
"00:01:10:620", 5.010, 0.561, 2.812, 36.
"00:01:10:630", 5.012, 0.527, 2.639, 36.
"00:01:10:640", 5.009, 0.576, 2.883, 36.
"00:01:10:650", 5.012, 0.552, 2.766, 36.
"00:01:10:660", 5.019, 0.439, 2.201, 36.
"00:01:10:670", 5.020, 0.518, 2.598, 36.
"00:01:10:680", 5.010, 0.578, 2.897, 36.
"00:01:10:690", 5.011, 0.555, 2.780, 36.
"00:01:10:700", 5.011, 0.540, 2.708, 36.
"00:01:10:710", 5.011, 0.516, 2.586, 36.
"00:01:10:720", 5.014, 0.500, 2.505, 36.
"00:01:10:730", 5.019, 0.362, 1.815, 36.
"00:01:10:740", 5.012, 0.502, 2.515, 36.
"00:01:10:750", 5.009, 0.611, 3.063, 36.
"00:01:10:760", 5.014, 0.561, 2.812, 36.
"00:01:10:770", 5.011, 0.550, 2.758, 36.
"00:01:10:780", 5.011, 0.550, 2.758, 36.
"00:01:10:790", 5.011, 0.585, 2.930, 36.
"00:01:10:800", 5.016, 0.439, 2.200, 36.
"00:01:10:810", 5.020, 0.363, 1.823, 36.
"00:01:10:820", 5.012, 0.522, 2.617, 36.
"00:01:10:830", 5.007, 0.601, 3.010, 36.
"00:01:10:840", 5.012, 0.529, 2.649, 36.
"00:01:10:850", 5.009, 0.585, 2.931, 36.
"00:01:10:860", 5.012, 0.527, 2.642, 36.
"00:01:10:870", 5.012, 0.504, 2.525, 36.
"00:01:10:880", 5.017, 0.359, 1.802, 36.
"00:01:10:890", 5.010, 0.530, 2.653, 36.
"00:01:10:900", 5.014, 0.508, 2.545, 36.
"00:01:10:910", 5.014, 0.533, 2.670, 36.
"00:01:10:920", 5.009, 0.564, 2.826, 36.
"00:01:10:930", 5.014, 0.518, 2.598, 36.
"00:01:10:940", 5.011, 0.573, 2.872, 36.
"00:01:10:950", 5.011, 0.530, 2.653, 36.
"00:01:10:960", 5.016, 0.419, 2.101, 36.
"00:01:10:970", 5.021, 0.361, 1.811, 36.
"00:01:10:980", 5.014, 0.510, 2.555, 36.
"00:01:10:990", 5.010, 0.562, 2.815, 36.
"00:01:11:000", 5.012, 0.530, 2.654, 36.
"00:01:11:010", 5.010, 0.576, 2.887, 36.
"00:01:11:020", 5.014, 0.545, 2.732, 36.
"00:01:11:030", 5.017, 0.427, 2.141, 36.
"00:01:11:040", 5.020, 0.337, 1.691, 36.
"00:01:11:050", 5.009, 0.555, 2.782, 36.
"00:01:11:060", 5.014, 0.521, 2.612, 36.
"00:01:11:070", 5.014, 0.493, 2.471, 36.
"00:01:11:080", 5.011, 0.557, 2.790, 36.
"00:01:11:090", 5.011, 0.557, 2.790, 36.
"00:01:11:100", 5.020, 0.337, 1.693, 36.
"00:01:11:110", 5.014, 0.471, 2.363, 36.
"00:01:11:120", 5.011, 0.557, 2.790, 36.
"00:01:11:130", 5.011, 0.523, 2.619, 36.
"00:01:11:140", 5.014, 0.511, 2.560, 36.
"00:01:11:150", 5.010, 0.561, 2.810, 36.
"00:01:11:160", 5.010, 0.561, 2.810, 36.
"00:01:11:170", 5.011, 0.550, 2.758, 36.
"00:01:11:180", 5.016, 0.460, 2.307, 36.
"00:01:11:190", 5.016, 0.460, 2.307, 36.
"00:01:11:200", 5.012, 0.543, 2.721, 36.
"00:01:11:210", 5.012, 0.526, 2.637, 36.
"00:01:11:220", 5.012, 0.511, 2.560, 36.
"00:01:11:230", 5.010, 0.482, 2.414, 36.
"00:01:11:240", 5.017, 0.474, 2.380, 36.
"00:01:11:250", 5.022, 0.339, 1.702, 36.
"00:01:11:260", 5.015, 0.438, 2.195, 36.
"00:01:11:270", 5.010, 0.613, 3.073, 36.
"00:01:11:280", 5.011, 0.540, 2.708, 36.
"00:01:11:290", 5.011, 0.512, 2.566, 36.
"00:01:11:300", 5.012, 0.555, 2.784, 36.
"00:01:11:310", 5.017, 0.431, 2.163, 36.
"00:01:11:320", 5.020, 0.329, 1.651, 36.
"00:01:11:330", 5.012, 0.529, 2.652, 36.
"00:01:11:340", 5.009, 0.602, 3.015, 36.
"00:01:11:350", 5.014, 0.501, 2.510, 36.
"00:01:11:360", 5.011, 0.560, 2.805, 36.
"00:01:11:370", 5.016, 0.486, 2.437, 36.
"00:01:11:380", 5.015, 0.470, 2.357, 36.
"00:01:11:390", 5.020, 0.336, 1.688, 36.
"00:01:11:400", 5.020, 0.336, 1.688, 36.
"00:01:11:410", 5.010, 0.543, 2.720, 36.
"00:01:11:420", 5.012, 0.528, 2.647, 36.
"00:01:11:430", 5.015, 0.500, 2.509, 36.
"00:01:11:440", 5.011, 0.535, 2.683, 36.
"00:01:11:450", 5.010, 0.560, 2.807, 36.
"00:01:11:460", 5.017, 0.444, 2.226, 36.
"00:01:11:470", 5.019, 0.328, 1.646, 36.
"00:01:11:480", 5.012, 0.492, 2.467, 36.
"00:01:11:490", 5.011, 0.519, 2.601, 36.
"00:01:11:500", 5.015, 0.494, 2.476, 36.
"00:01:11:510", 5.011, 0.548, 2.748, 36.
"00:01:11:520", 5.014, 0.549, 2.752, 36.
"00:01:11:530", 5.021, 0.338, 1.699, 36.
"00:01:11:540", 5.020, 0.369, 1.850, 36.
"00:01:11:550", 5.016, 0.468, 2.350, 36.
"00:01:11:560", 5.012, 0.541, 2.711, 36.
"00:01:11:570", 5.014, 0.492, 2.466, 36.
"00:01:11:580", 5.012, 0.544, 2.726, 36.
"00:01:11:590", 5.012, 0.526, 2.634, 36.
"00:01:11:600", 5.012, 0.490, 2.457, 36.
"00:01:11:610", 5.021, 0.338, 1.699, 36.
"00:01:11:620", 5.006, 0.624, 3.126, 36.
"00:01:11:630", 5.010, 0.542, 2.718, 36.
"00:01:11:640", 5.014, 0.489, 2.453, 36.
"00:01:11:650", 5.011, 0.558, 2.798, 36.
"00:01:11:660", 5.014, 0.489, 2.451, 36.
"00:01:11:670", 5.019, 0.363, 1.820, 36.
"00:01:11:680", 5.021, 0.335, 1.684, 36.
"00:01:11:690", 5.017, 0.596, 2.988, 36.
"00:01:11:700", 5.011, 0.550, 2.756, 36.
"00:01:11:710", 5.011, 0.550, 2.756, 36.
"00:01:11:720", 5.014, 0.502, 2.518, 36.
"00:01:11:730", 5.011, 0.540, 2.708, 36.
"00:01:11:740", 5.014, 0.505, 2.533, 36.
"00:01:11:750", 5.011, 0.532, 2.666, 36.
"00:01:11:760", 5.010, 0.572, 2.864, 36.
"00:01:11:770", 5.021, 0.358, 1.798, 36.
"00:01:11:780", 5.024, 0.287, 1.440, 36.
"00:01:11:790", 5.022, 0.285, 1.432, 36.
"00:01:11:800", 5.021, 0.279, 1.402, 36.
"00:01:11:810", 5.021, 0.279, 1.402, 36.
"00:01:11:820", 5.024, 0.287, 1.443, 36.
"00:01:11:830", 5.021, 0.285, 1.432, 36.
"00:01:11:840", 5.020, 0.272, 1.364, 36.
"00:01:11:850", 5.022, 0.287, 1.442, 36.
"00:01:11:860", 5.024, 0.307, 1.542, 36.
"00:01:11:870", 5.021, 0.293, 1.472, 36.
"00:01:11:880", 5.024, 0.290, 1.458, 36.
"00:01:11:890", 5.022, 0.274, 1.377, 36.
"00:01:11:900", 5.021, 0.280, 1.404, 36.
"00:01:11:910", 5.024, 0.285, 1.433, 36.
"00:01:11:920", 5.022, 0.283, 1.420, 36.
"00:01:11:930", 5.025, 0.302, 1.518, 36.
"00:01:11:940", 5.019, 0.285, 1.429, 36.
"00:01:11:950", 5.022, 0.294, 1.477, 36.
"00:01:11:960", 5.024, 0.289, 1.450, 36.
"00:01:11:970", 5.020, 0.292, 1.466, 36.
"00:01:11:980", 5.022, 0.326, 1.637, 36.
"00:01:11:990", 5.020, 0.314, 1.579, 36.
"00:01:12:000", 5.021, 0.314, 1.577, 36.
"00:01:12:010", 5.021, 0.312, 1.569, 36.
"00:01:12:020", 5.021, 0.312, 1.569, 36.
"00:01:12:030", 5.021, 0.315, 1.582, 36.
"00:01:12:040", 5.022, 0.314, 1.579, 36.
"00:01:12:050", 5.019, 0.324, 1.626, 36.
"00:01:12:060", 5.021, 0.314, 1.577, 36.
"00:01:12:070", 5.020, 0.320, 1.609, 36.
"00:01:12:080", 5.021, 0.305, 1.529, 36.
"00:01:12:090", 5.022, 0.323, 1.624, 36.
"00:01:12:100", 5.021, 0.321, 1.611, 36.
"00:01:12:110", 5.021, 0.314, 1.579, 36.
"00:01:12:120", 5.024, 0.316, 1.590, 36.
"00:01:12:130", 5.022, 0.317, 1.594, 36.
"00:01:12:140", 5.020, 0.304, 1.526, 36.
"00:01:12:150", 5.020, 0.315, 1.581, 36.
"00:01:12:160", 5.019, 0.306, 1.533, 36.
"00:01:12:170", 5.022, 0.328, 1.649, 36.
"00:01:12:180", 5.019, 0.318, 1.596, 36.
"00:01:12:190", 5.021, 0.315, 1.582, 36.
"00:01:12:200", 5.022, 0.313, 1.574, 36.
"00:01:12:210", 5.022, 0.322, 1.619, 36.
"00:01:12:220", 5.022, 0.319, 1.602, 36.
"00:01:12:230", 5.022, 0.321, 1.612, 36.
"00:01:12:240", 5.020, 0.322, 1.619, 36.
"00:01:12:250", 5.024, 0.311, 1.565, 36.
"00:01:12:260", 5.019, 0.307, 1.541, 36.
"00:01:12:270", 5.022, 0.309, 1.549, 36.
"00:01:12:280", 5.021, 0.315, 1.582, 36.
"00:01:12:290", 5.022, 0.320, 1.609, 36.
"00:01:12:300", 5.022, 0.311, 1.562, 36.
"00:01:12:310", 5.020, 0.314, 1.576, 36.
"00:01:12:320", 5.021, 0.309, 1.549, 36.
"00:01:12:330", 5.021, 0.309, 1.549, 36.
"00:01:12:340", 5.021, 0.322, 1.619, 36.
"00:01:12:350", 5.022, 0.324, 1.627, 36.
"00:01:12:360", 5.024, 0.319, 1.605, 36.
"00:01:12:370", 5.020, 0.317, 1.594, 36.
"00:01:12:380", 5.022, 0.307, 1.542, 36.
"00:01:12:390", 5.020, 0.311, 1.561, 36.
"00:01:12:400", 5.021, 0.311, 1.562, 36.
"00:01:12:410", 5.022, 0.329, 1.654, 36.
"00:01:12:420", 5.022, 0.316, 1.589, 36.
"00:01:12:430", 5.027, 0.317, 1.596, 36.
"00:01:12:440", 5.022, 0.312, 1.569, 36.
"00:01:12:450", 5.022, 0.318, 1.597, 36.
"00:01:12:460", 5.024, 0.313, 1.572, 36.
"00:01:12:470", 5.020, 0.332, 1.668, 36.
"00:01:12:480", 5.021, 0.318, 1.596, 36.
"00:01:12:490", 5.020, 0.323, 1.621, 36.
"00:01:12:500", 5.021, 0.319, 1.601, 36.
"00:01:12:510", 5.020, 0.320, 1.606, 36.
"00:01:12:520", 5.022, 0.321, 1.614, 36.
"00:01:12:530", 5.021, 0.320, 1.609, 36.
"00:01:12:540", 5.021, 0.320, 1.609, 36.
"00:01:12:550", 5.021, 0.314, 1.579, 36.
"00:01:12:560", 5.022, 0.312, 1.567, 36.
"00:01:12:570", 5.021, 0.326, 1.639, 36.
"00:01:12:580", 5.021, 0.329, 1.651, 36.
"00:01:12:590", 5.022, 0.324, 1.629, 36.
"00:01:12:600", 5.021, 0.322, 1.619, 36.
"00:01:12:610", 5.020, 0.316, 1.589, 36.
"00:01:12:620", 5.021, 0.313, 1.572, 36.
"00:01:12:630", 5.021, 0.326, 1.639, 36.
"00:01:12:640", 5.021, 0.326, 1.639, 36.
"00:01:12:650", 5.022, 0.327, 1.642, 36.
"00:01:12:660", 5.020, 0.311, 1.561, 36.
"00:01:12:670", 5.024, 0.314, 1.580, 36.
"00:01:12:680", 5.021, 0.326, 1.639, 36.
"00:01:12:690", 5.021, 0.312, 1.569, 36.
"00:01:12:700", 5.022, 0.312, 1.569, 36.
"00:01:12:710", 5.022, 0.308, 1.547, 36.
"00:01:12:720", 5.021, 0.311, 1.564, 36.
"00:01:12:730", 5.024, 0.321, 1.615, 36.
"00:01:12:740", 5.021, 0.315, 1.584, 36.
"00:01:12:750", 5.021, 0.320, 1.606, 36.
"00:01:12:760", 5.019, 0.325, 1.631, 36.
"00:01:12:770", 5.022, 0.309, 1.549, 36.
"00:01:12:780", 5.021, 0.333, 1.674, 36.
"00:01:12:790", 5.021, 0.321, 1.614, 36.
"00:01:12:800", 5.021, 0.322, 1.619, 36.
"00:01:12:810", 5.021, 0.308, 1.544, 36.
"00:01:12:820", 5.020, 0.310, 1.554, 36.
"00:01:12:830", 5.022, 0.312, 1.569, 36.
"00:01:12:840", 5.019, 0.314, 1.578, 36.
"00:01:12:850", 5.022, 0.317, 1.594, 36.
"00:01:12:860", 5.020, 0.316, 1.586, 36.
"00:01:12:870", 5.020, 0.316, 1.586, 36.
"00:01:12:880", 5.021, 0.338, 1.696, 36.
"00:01:12:890", 5.021, 0.321, 1.614, 36.
"00:01:12:900", 5.021, 0.321, 1.614, 36.
"00:01:12:910", 5.021, 0.317, 1.591, 36.
"00:01:12:920", 5.021, 0.312, 1.569, 36.
"00:01:12:930", 5.025, 0.320, 1.608, 36.
"00:01:12:940", 5.022, 0.318, 1.597, 36.
"00:01:12:950", 5.022, 0.318, 1.597, 36.
"00:01:12:960", 5.021, 0.325, 1.634, 36.
"00:01:12:970", 5.021, 0.317, 1.594, 36.
"00:01:12:980", 5.022, 0.308, 1.547, 36.
"00:01:12:990", 5.019, 0.323, 1.623, 36.
"00:01:13:000", 5.022, 0.319, 1.604, 36.
"00:01:13:010", 5.022, 0.323, 1.622, 36.
"00:01:13:020", 5.022, 0.318, 1.597, 36.
"00:01:13:030", 5.020, 0.316, 1.586, 36.
"00:01:13:040", 5.024, 0.327, 1.642, 36.
"00:01:13:050", 5.022, 0.312, 1.569, 36.
"00:01:13:060", 5.020, 0.313, 1.574, 36.
"00:01:13:070", 5.021, 0.311, 1.564, 36.
"00:01:13:080", 5.021, 0.304, 1.524, 36.
"00:01:13:090", 5.022, 0.325, 1.634, 36.
"00:01:13:100", 5.021, 0.311, 1.564, 36.
"00:01:13:110", 5.022, 0.307, 1.540, 36.
"00:01:13:120", 5.021, 0.310, 1.557, 36.
"00:01:13:130", 5.020, 0.312, 1.566, 36.
"00:01:13:140", 5.021, 0.307, 1.539, 36.
"00:01:13:150", 5.020, 0.323, 1.624, 36.
"00:01:13:160", 5.021, 0.316, 1.587, 36.
"00:01:13:170", 5.022, 0.319, 1.602, 36.
"00:01:13:180", 5.021, 0.315, 1.584, 36.
"00:01:13:190", 5.020, 0.316, 1.586, 36.
"00:01:13:200", 5.020, 0.304, 1.526, 36.
"00:01:13:210", 5.022, 0.313, 1.572, 36.
"00:01:13:220", 5.021, 0.307, 1.539, 36.
"00:01:13:230", 5.020, 0.315, 1.581, 36.
"00:01:13:240", 5.020, 0.310, 1.554, 36.
"00:01:13:250", 5.021, 0.313, 1.574, 36.
"00:01:13:260", 5.021, 0.313, 1.574, 36.
"00:01:13:270", 5.022, 0.320, 1.609, 36.
"00:01:13:280", 5.021, 0.315, 1.582, 36.
"00:01:13:290", 5.022, 0.320, 1.609, 36.
"00:01:13:300", 5.022, 0.323, 1.624, 36.
"00:01:13:310", 5.020, 0.319, 1.601, 36.
"00:01:13:320", 5.024, 0.321, 1.612, 36.
"00:01:13:330", 5.022, 0.318, 1.597, 36.
"00:01:13:340", 5.020, 0.319, 1.604, 36.
"00:01:13:350", 5.021, 0.318, 1.599, 36.
"00:01:13:360", 5.021, 0.313, 1.572, 36.
"00:01:13:370", 5.024, 0.311, 1.565, 36.
"00:01:13:380", 5.020, 0.312, 1.569, 36.
"00:01:13:390", 5.022, 0.317, 1.594, 36.
"00:01:13:400", 5.020, 0.313, 1.574, 36.
"00:01:13:410", 5.020, 0.329, 1.651, 36.
"00:01:13:420", 5.020, 0.316, 1.586, 36.
"00:01:13:430", 5.022, 0.325, 1.634, 36.
"00:01:13:440", 5.024, 0.317, 1.592, 36.
"00:01:13:450", 5.021, 0.328, 1.646, 36.
"00:01:13:460", 5.021, 0.323, 1.624, 36.
"00:01:13:470", 5.024, 0.328, 1.650, 36.
"00:01:13:480", 5.021, 0.324, 1.626, 36.
"00:01:13:490", 5.020, 0.335, 1.681, 36.
"00:01:13:500", 5.021, 0.310, 1.554, 36.
"00:01:13:510", 5.024, 0.314, 1.577, 36.
"00:01:13:520", 5.022, 0.324, 1.629, 36.
"00:01:13:530", 5.022, 0.320, 1.607, 36.
"00:01:13:540", 5.021, 0.317, 1.591, 36.
"00:01:13:550", 5.022, 0.313, 1.572, 36.
"00:01:13:560", 5.022, 0.327, 1.644, 36.
"00:01:13:570", 5.022, 0.327, 1.644, 36.
"00:01:13:580", 5.020, 0.322, 1.616, 36.
"00:01:13:590", 5.022, 0.316, 1.589, 36.
"00:01:13:600", 5.022, 0.329, 1.654, 36.
"00:01:13:610", 5.021, 0.316, 1.587, 36.
"00:01:13:620", 5.021, 0.312, 1.569, 36.
"00:01:13:630", 5.019, 0.315, 1.581, 36.
"00:01:13:640", 5.021, 0.314, 1.579, 36.
"00:01:13:650", 5.022, 0.319, 1.604, 36.
"00:01:13:660", 5.019, 0.309, 1.551, 36.
"00:01:13:670", 5.021, 0.311, 1.562, 36.
"00:01:13:680", 5.021, 0.315, 1.582, 36.
"00:01:13:690", 5.021, 0.319, 1.601, 36.
"00:01:13:700", 5.021, 0.331, 1.664, 36.
"00:01:13:710", 5.020, 0.309, 1.549, 36.
"00:01:13:720", 5.021, 0.328, 1.649, 36.
"00:01:13:730", 5.020, 0.316, 1.589, 36.
"00:01:13:740", 5.021, 0.311, 1.564, 36.
"00:01:13:750", 5.022, 0.316, 1.589, 36.
"00:01:13:760", 5.019, 0.305, 1.531, 36.
"00:01:13:770", 5.021, 0.325, 1.634, 36.
"00:01:13:780", 5.025, 0.321, 1.615, 36.
"00:01:13:790", 5.021, 0.327, 1.644, 36.
"00:01:13:800", 5.022, 0.344, 1.727, 36.
"00:01:13:810", 5.019, 0.320, 1.606, 36.
"00:01:13:820", 5.021, 0.323, 1.624, 36.
"00:01:13:830", 5.021, 0.324, 1.626, 36.
"00:01:13:840", 5.020, 0.323, 1.624, 36.
"00:01:13:850", 5.020, 0.325, 1.631, 36.
"00:01:13:860", 5.024, 0.320, 1.607, 36.
"00:01:13:870", 5.021, 0.317, 1.591, 36.
"00:01:13:880", 5.021, 0.317, 1.591, 36.
"00:01:13:890", 5.020, 0.320, 1.606, 36.
"00:01:13:900", 5.017, 0.322, 1.618, 36.
"00:01:13:910", 5.020, 0.330, 1.658, 36.
"00:01:13:920", 5.021, 0.348, 1.749, 36.
"00:01:13:930", 5.022, 0.341, 1.712, 36.
"00:01:13:940", 5.019, 0.339, 1.700, 36.
"00:01:13:950", 5.019, 0.350, 1.758, 36.
"00:01:13:960", 5.021, 0.357, 1.791, 36.
"00:01:13:970", 5.020, 0.350, 1.758, 36.
"00:01:13:980", 5.020, 0.338, 1.698, 36.
"00:01:13:990", 5.021, 0.349, 1.754, 36.
"00:01:14:000", 5.017, 0.345, 1.732, 36.
"00:01:14:010", 5.019, 0.338, 1.698, 36.
"00:01:14:020", 5.020, 0.340, 1.706, 36.
"00:01:14:030", 5.021, 0.341, 1.711, 36.
"00:01:14:040", 5.020, 0.344, 1.728, 36.
"00:01:14:050", 5.021, 0.340, 1.706, 36.
"00:01:14:060", 5.021, 0.339, 1.704, 36.
"00:01:14:070", 5.021, 0.346, 1.736, 36.
"00:01:14:080", 5.019, 0.342, 1.718, 36.
"00:01:14:090", 5.020, 0.340, 1.708, 36.
"00:01:14:100", 5.019, 0.345, 1.733, 36.
"00:01:14:110", 5.021, 0.357, 1.791, 36.
"00:01:14:120", 5.020, 0.344, 1.726, 36.
"00:01:14:130", 5.021, 0.338, 1.699, 36.
"00:01:14:140", 5.021, 0.335, 1.684, 36.
"00:01:14:150", 5.019, 0.345, 1.733, 36.
"00:01:14:160", 5.021, 0.347, 1.744, 36.
"00:01:14:170", 5.021, 0.339, 1.701, 36.
"00:01:14:180", 5.020, 0.335, 1.681, 36.
"00:01:14:190", 5.020, 0.335, 1.681, 36.
"00:01:14:200", 5.021, 0.336, 1.689, 36.
"00:01:14:210", 5.019, 0.340, 1.708, 36.
"00:01:14:220", 5.019, 0.336, 1.688, 36.
"00:01:14:230", 5.020, 0.342, 1.716, 36.
"00:01:14:240", 5.020, 0.349, 1.751, 36.
"00:01:14:250", 5.021, 0.352, 1.769, 36.
"00:01:14:260", 5.021, 0.345, 1.731, 36.
"00:01:14:270", 5.020, 0.348, 1.748, 36.
"00:01:14:280", 5.021, 0.353, 1.771, 36.
"00:01:14:290", 5.019, 0.345, 1.733, 36.
"00:01:14:300", 5.019, 0.335, 1.683, 36.
"00:01:14:310", 5.020, 0.344, 1.728, 36.
"00:01:14:320", 5.020, 0.335, 1.683, 36.
"00:01:14:330", 5.019, 0.339, 1.703, 36.
"00:01:14:340", 5.017, 0.342, 1.717, 36.
"00:01:14:350", 5.020, 0.345, 1.731, 36.
"00:01:14:360", 5.019, 0.348, 1.745, 36.
